Unit Id,Unit Isocode,Unit
DZN,,-2
EE,,( EU )
LE,C62,Activity unit ( AU )
BAG,BG,Bag ( Bag )
BOT,BO,Bottle ( Bt. )
BU,BU,Bushel ( BU )
KAN,CA,Canister ( Can )
KAR,CT,Carton ( Car )
CS,CS,Case ( Case )
KI,BX,Crate ( Crate )
DEG,DD,Degree ( deg )
DZ,DZN,Dozen ( dz )
DR,DR,Drum ( Dr )
EML,EML,Enzyme Units / Milliliter ( EU/ml )
G/T,G/T,Gram Active Ingredient/To ( gai/To )
GAU,GAU,Gram Gold ( GAU )
GAG,GAG,Gram Silver ( GAG )
GW,A90,Gram act. ingrd. ( gai )
GRO,GRO,Gross ( gro )
PCT,PCT,Group proportion ( PrC )
IU,IU,International Unit ( IU )
KGW,KGW,Kilogram act. ingrd. ( kgai )
MBL,MIL,MBL ( MBL )
MLW,MLW,Milliliter act. ingr. ( mlai )
YTM,YTM,Moisture (Tonnes) ( YTM )
NJ,4P,NJ Test ( NJ )
PRS,IE,Number of Persons ( PRS )
PC,PC,PEICES ( PC )
PAK,PK,Pack ( PAK )
PAA,PR,Pair ( PAIR )
PAL,PF,Pallet ( PAL )
ST,PCE,Pices (EA) ( EA )
PCE,PCE,Pieces ( PCE )
ROL,RO,Role ( ROL )
SCM,SCM,SCM ( SCM )
TH,MIL,Thousands ( thou )
TCU,TCU,Ton Copper ( TCU )
TAS,TAS,Tonne Arsenic ( TAS )
YTA,YTA,Tonne Ash ( YTA )
YTD,YTD,Tonne Dry ( YTDr )
TOZ,TOZ,Troy OncesTonne ( Toz )
TOT,TOT,Troy Oz / Tonne ( Tot )
VAL,VAL,Value-only material ( val )
EA,EA,each (ST) ( ST )
G/L,G/L,gram act.ingrd / liter ( gai/l )
KWK,KWK,kg act.ingrd. / kg ( kai/kg )
MS2,MSK,Meter/second squared ( m/s2 )
V02,C36,Millimol per liter ( mMol/l )
C36,C36,Mol per cubic meter ( mol/m3 )
C38,C38,Mol per liter ( Mol/l )
PTS,PTS,-9
ACR,ACR,Acre ( acre )
GLM,,Gallons per mile (US) ( GPM US )
HAR,HAR,Hectare ( Hectar )
LHK,LHK,Liter per 100 km ( l/hkm )
YD2,YDK,Square Yard ( yd2 )
CM2,CMK,Square centimeter ( cm2 )
FT2,FTK,Square foot ( ft2 )
IN2,INK,Square inch ( Inch2 )
KM2,KMK,Square kilometer ( km2 )
M2,MTK,Square meter ( m2 )
MI2,MIK,Square mile ( Mile2 )
MM2,MMK,Square millimeter ( mm2 )
V01,G42,Microsiemens per centimeter ( ?S/cm )
D10,D10,Siemens per meter ( S/m )
O19,KMK,-10
A93,A93,Gram/Cubic meter ( g/m3 )
RHO,23,Gram/cubic centimeter ( g/cm3 )
GLI,GL,Gram/liter ( g/l )
kgs,,Kilogram/Standard Cubic Foot ( kg/scf )
kgb,kgb,Kilogram/US Barrel ( kg/bbl )
B34,B34,Kilogram/cubic decimeter ( kg/dm3 )
KGV,KMQ,Kilogram/cubic meter ( kg/m3 )
GQ,GQ,Microgram/cubic meter ( ?g/m3 )
UGL,H29,Microgram/liter ( ?g/l )
MGQ,GP,Milligram/cubic meter ( mg/m3 )
MGL,M1,Milligram/liter ( mg/l )
D41,D41,Ton/Cubic meter ( t/m3 )
tm3,,Tonne/1000 Cubic Meters ( t/tm3 )
tbl,tbl,Tonne/US Barrel ( t/bbl )
lbs,87,US Pound/Standard Cubic Foot ( lb/scf )
lbg,GE,US Pound/US Gallon ( lb/gal )
tgl,tgl,US Tonne/US Gallon ( ton/gl )
MBZ,MBZ,Meterbar/second ( m.b_/s )
MPZ,MPZ,Meterpascal/second ( m.Pa/s )
MPS,C24,Millipascal seconds ( mPa.s )
PAS,C65,Pascal second ( Pas )
A87,A87,Gigaohm ( GOhm )
KOH,B49,Kiloohm ( kOhm )
B75,B75,Megohm ( MOhm )
OHM,OHM,Ohm ( Ohm )
A,AMP,Ampere ( A )
KA,B22,Kiloampere ( kA )
B84,B84,Microampere ( ?A )
MA,4K,Milliampere ( mA )
C39,C39,Nanoampere ( nA )
KV,KVT,Kilovolt ( kV )
B78,B78,Megavolt ( MV )
MV,2Z,Millivolt ( mV )
V,VLT,Volt ( V )
F,FAR,Farad ( F )
4O,4O,Microfarad ( ?F )
C10,C10,Millifarad ( mF )
C41,C41,Nanofarad ( nF )
4T,4T,Pikofarad ( pF )
MBT,,-8
GJ,GV,Gigajoule ( GJ )
J,JOU,Joule ( J )
KJ,KJO,Kilojoule ( kJ )
KWH,KWH,Kilowatt hours ( kwh )
MEJ,3B,Megajoule ( MJ )
MWH,MWH,Megawatt hour ( MWh )
MJ,C15,Millijoule ( mJ )
CAL,3B,kilocalories ( KCAL )
B47,B47,Kilonewton ( ND )
B73,B73,Meganewton ( MN )
N,NEW,Newton ( N )
PMI,PMI,1/minute ( 1/min )
BPM,BPM,Bottles per minute ( BPM )
HZ,HTZ,Hertz (1/second) ( Hz )
KHZ,KHZ,Kilohertz ( kHz )
MHZ,MHZ,Megahertz ( MHz )
RPM,RPM,RPM ( RPM )
WMK,D53,Heat Conductivity ( W/mk )
LMS,LMS,Liter/Molsecond ( l/m_.s )
M2I,M2I,1 / square meter ( 1/M2 )
MPG,MPG,Miles per gallon (US) ( MPG US )
M2S,S4,Square meter/second ( m2/s )
22S,C17,Square millimeter/second ( mm2/s )
CM,CMT,Centimeter ( cm )
DM,DMT,Decimeter ( dm )
FT,FOT,Foot ( Foot )
IN,INH,"Inch ( "" )"
KM,KMT,Kilometer ( km )
M,M,Meter ( m )
MIM,4H,Micrometer ( ?m )
MI,SMI,Mile ( mile )
MM,MMT,Millimeter ( mm )
NAM,C45,Nanometer ( nm )
YD,YRD,Yards ( yd )
CD,CDL,Candela ( cd )
MTE,C29,Millitesla ( mT )
TES,D33,Tesla ( D )
G,GRM,Gram ( g )
ZE,3H,Kilogram ( ZE )
KT,KTN,Kilotonne ( kt )
MG,MGM,Milligram ( mg )
OZ,ONZ,Ounce ( oz )
TO,TNE,Tonne ( t )
LB,LBR,US pound ( lb )
TON,STN,US ton ( ton )
KG,KGM,kg ( KG )
GM2,GM,Gram/square meter ( g/m2 )
KGF,28,Kilogram/Square meter ( kg/m2 )
MGF,H63,Milligram/Square centimeter ( mg/cm2 )
KGS,KGS,Kilogram/second ( kg/s )
kgj,kgj,Kilogram/Joule ( kg/J )
kgm,,Kilogram/Million BTU ( kg/MB )
tbt,tbt,Tonne/British Thermal Unit ( t/Btu )
tjl,tjl,Tonne/Joule ( t/Joul )
ttj,ttj,Tonne/Terajoule ( t/TJ )
lbb,lbb,US Pound/British Thermal Unit ( lb/Btu )
lbm,lbm,US Pound/Million BTU ( lb/MB )
GHG,GHG,Gram/hectogram ( g/hg )
GKG,GKG,Gram/kilogram ( g/kg )
KGK,M29,Kilogram/Kilogram ( kg/kg )
kgt,kgt,Kilogram/US Tonne ( kg/ton )
MPB,MPB,Mass parts per billion ( ppb(m) )
MPM,MPM,Mass parts per million ( ppm(m) )
MPT,MPT,Mass parts per trillion ( ppt(m) )
MGG,MGG,Milligram/gram ( mg/g )
MGK,NA,Milligram/kilogram ( mg/kg )
M%,M%,Percent mass ( %(m) )
M%O,M%O,Permille mass ( %O(m) )
tt,tt,Tonne/Tonne ( t/t )
lbt,lbt,US Pound/US Tonne ( lb/ton )
JMO,B15,Joule/Mol ( J/mol )
KJM,B44,Kilojoule/Mol ( KJ/mol )
GM,,Gram/Mol ( g/mol )
kml,kml,Kilogram/Kilogram Mole ( kg/kgm )
KGM,,Kilogram/Mol ( kg/mol )
lbl,lbl,US Pound/US Pound Mole ( lb/lbm )
B45,B45,Kilomol ( kmol )
MMO,C18,Millimol ( mmol )
MOL,C34,Mol ( mol )
TC3,TC3,1/cubic centimeter ( 1/cm3 )
TM3,,1/cubic meter ( 1/m3 )
PRM,PRM,Permeation Rate ( ug/c2m )
PMR,PMR,Permeation Rate SI ( kg/m2s )
P,P,Points ( P )
KVA,KVA,Kilovoltampere ( kVA )
KW,KWT,Kilowatt ( KW )
MVA,MVA,Megavoltampere ( MVA )
MGW,MAW,Megawatt ( VA )
MW,C31,Milliwatt ( mW )
D46,D46,Voltampere ( VAM )
W,WTT,Watt ( W )
bft,B0,British Thermal Unit/Cubic Ft ( Bt/ft3 )
bbl,bbl,British Thermal Unit/US Barrel ( Bt/bbl )
bgl,bgl,British Thermal Unit/US Gallon ( Bt/gal )
gj3,gj3,Gigajoule/1000 Cubic Meters ( GJ/tm3 )
gjm,gjm,Gigajoule/Cubic Meter ( GJ/m3 )
HPA,A97,Hectopascal ( hPa )
jm3,JM3,Joule/Cubic Meter ( J/m3 )
KPA,KPA,Kilopascal ( kPa )
MPA,MPA,Megapascal ( MPa )
MBA,MBR,Millibar ( mbar )
mbb,mbb,Million BTU/US Barrel ( MB/bbl )
C56,C56,Newton/Square millimeter ( N/mm2 )
PA,PAL,Pascal ( Pa )
BAR,BAR,bar ( bar )
1,C62,One ( One )
PPB,PPB,Parts per billion ( ppb )
PPM,59,Parts per million ( ppm )
PPT,PPT,Parts per trillion ( ppt )
%O,,Per mille ( %O )
%,P1,Percentage ( % )
KMN,F11,Kelvin/Minute ( K/min )
KMS,F12,Kelvin/Second ( K/s )
OCM,C60,Spec. Elec. Resistance ( Ohcm )
OM,C61,Spec. Elec. Resistance ( Ohmm )
JKK,B11,Spec. Heat Capacity ( J/kgK )
MMG,H68,Millimol/gram ( mmol/g )
MMK,D87,Millimol/kilogram ( m_/kg )
MOK,C19,Mol/kilogram ( mol/kg )
BQK,A18,Becquerel/kilogram ( Bq/kg )
KBK,B25,Kilobecquerel/kilogram ( kBq/kg )
btl,btl,British Thermal Unit/US Pound ( Btu/lb )
gjt,gjt,Gigajoule/US Tonne ( GJ/ton )
JKG,JKG,Joule/Kilogram ( J/kg )
KJK,KJK,Kilojoule/kilogram ( KJ/kg )
mbt,mbt,Million BTU/US Tonne ( MB/ton )
CMH,,Centimeter/hour ( cm/h )
2M,2M,Centimeter/second ( cm/s )
KMH,KMH,Kilometer/hour ( km/h )
MTS,X03,Meter/Hour ( m/h )
2X,2X,Meter/Minute ( m/min )
M/S,MTS,Meter/second ( m/s )
MMH,H67,Millimeter/hour ( mm/h )
MMS,C16,Millimeter/second ( mm/s )
MMA,H66,Millimeter/year ( mm/a )
MNM,C22,Millinewton/meter ( mN/m )
NM,4P,Newton/meter ( N/m )
GC,CEL,Degrees Celsius ( ÅãC )
FA,FAH,Fahrenheit ( ÅãF )
K,KEL,Kelvin ( K )
AA,,AA ( AAAAAA )
TST,,-1
TAG,DAY,Days ( Days )
10,DAY,Days ( d )
H,HUR,Hour ( h )
HR,HR,Hours ( HOU )
STD,HUR,Hours ( hrs )
MIS,B98,Microsecond ( ?s )
MS,C26,Millisecond ( ms )
MIN,MIN,Minute ( min )
MON,MON,Months ( Months )
NS,C47,Nanosecond ( ns )
PS,H70,Picosecond ( ps )
S,SEC,Second ( s )
WCH,WEE,Weeks ( Weeks )
JHR,ANN,Years ( yr )
WTL,WTL,Vaporization Speed ( kg/sm2 )
BB6,,-3
BBL,,-4
BCF,,-5
BUI,,-6
BUU,,-7
CTL,CTL,Centiliter ( Cl )
CCM,CMQ,Cubic centimeter ( cm3 )
CDM,DMQ,Cubic decimeter ( dm3 )
FT3,FTQ,Cubic foot ( ft3 )
IN3,INQ,Cubic inch ( Inch3 )
M3,MTQ,Cubic meter ( m3 )
MMQ,MMQ,Cubic millimeter ( mm3 )
YD3,YDQ,Cubic yard ( yd3 )
OZA,OZA,Fluid Ounce US ( foz US )
HL,HLT,Hectoliter ( hl )
L,LTR,Liter ( l )
4G,4G,Microliter ( ?l )
ML,MLT,Milliliter ( ml )
PT,PT,"Pint, US liquid ( pt US )"
QT,QTL,"Quart, US liquid ( qt US )"
GLL,GLL,US gallon ( gal US )
KMK,X02,Cubic meter/Cubic meter ( m3/m3 )
MLK,MLK,Milliliter/cubic meter ( ml/m3 )
V%,PV,Percent volume ( %(V) )
V%O,VPO,Permille volume ( %O(V) )
VPB,VPB,Volume parts per billion ( ppb(V) )
VPM,VPM,Volume parts per million ( ppm(V) )
VPT,VPT,Volume parts per trillion ( ppt(V) )
C3S,2J,Cubic centimeter/second ( cm3/s )
MQH,MQH,Cubic meter/Hour ( m3/h )
M3D,G52,Cubic meter/day ( m3/d )
M3S,MQS,Cubic meter/second ( m3/s )
GPH,G50,Gallons per hour (US) ( GPH US )
LPH,LPH,Liter per hour ( L/hr )
L2,L2,Liter/Minute ( l/min )
